10, mergesortImproved, 195, nano-seconds, 1
100, mergesortImproved, 203, nano-seconds, 1
1000, mergesortImproved, 196, nano-seconds, 1
10000, mergesortImproved, 196, nano-seconds, 1
10, mergesortImproved, 201, nano-seconds, 1
100, mergesortImproved, 195, nano-seconds, 1
1000, mergesortImproved, 194, nano-seconds, 1
10000, mergesortImproved, 196, nano-seconds, 1
10, mergesortImproved, 193, nano-seconds, 1
100, mergesortImproved, 196, nano-seconds, 1
1000, mergesortImproved, 195, nano-seconds, 1
10000, mergesortImproved, 196, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 182, nano-seconds, 1
1000, mergesortImproved, 187, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 187, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 187, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 182, nano-seconds, 1
10000, mergesortImproved, 187, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 187, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 183, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 208, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 185, nano-seconds, 1
1000, mergesortImproved, 193, nano-seconds, 1
10000, mergesortImproved, 183, nano-seconds, 1
10, mergesortImproved, 186, nano-seconds, 1
100, mergesortImproved, 198, nano-seconds, 1
1000, mergesortImproved, 193, nano-seconds, 1
10000, mergesortImproved, 193, nano-seconds, 1
10, mergesortImproved, 181, nano-seconds, 1
100, mergesortImproved, 180, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 181, nano-seconds, 1
100, mergesortImproved, 178, nano-seconds, 1
1000, mergesortImproved, 181, nano-seconds, 1
10000, mergesortImproved, 180, nano-seconds, 1
10, mergesortImproved, 193, nano-seconds, 1
100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 182, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 185, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 186, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 188, nano-seconds, 1
100, mergesortImproved, 184, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 183, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 186, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 182, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 188, nano-seconds, 1
1000, mergesortImproved, 184, nano-seconds, 1
10000, mergesortImproved, 206, nano-seconds, 1
10, mergesortImproved, 184, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 185, nano-seconds, 1
10000, mergesortImproved, 185, nano-seconds, 1
10, mergesortImproved, 187, nano-seconds, 1
100, mergesortImproved, 183, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
10000, mergesortImproved, 184, nano-seconds, 1
10, mergesortImproved, 206, nano-seconds, 1
100, mergesortImproved, 196, nano-seconds, 1
1000, mergesortImproved, 186, nano-seconds, 1
